역,이름,주소,상세보기,메뉴
개화,명동찌개마을 개화점,서울 강서구 개화길 2 1층,https://place.map.kakao.com/441183742,"양푼돼지김치찌개 (1인) (9,000원); 양푼동태탕 (2인) (19,000원); 매운갈비찜(1인)(2인이상) (11,000원); 제육볶음(1인) (10,000원); 뚝배기김치찌개 (8,000원); 알탕 (9,000원); 제육덮밥 (10,000원)"
개화,고양이정원,서울 강서구 개화동로19길 18 1층,https://place.map.kakao.com/1943025765,"성인 (20,000원); 취학 (12,000원); 미취학 (10,000원)"
개화,윤뜰카페,서울 강서구 개화동로13길 9-5 1층,https://place.map.kakao.com/1220342273,"아메리카노(HOT) (3,500원); 카페라떼(HOT) (4,000원); 연유라떼(HOT) (5,000원); 딸기라떼(HOT) (5,000원); 생강청차 (5,500원)"
개화,제일한우촌,서울 강서구 개화길 4 1층,https://place.map.kakao.com/10803779,"간장게장정식 (33,000원); 황소모듬구이(150g) (35,000원); 한우촌정식 (11,000원)"
개화,칸토커피,서울 강서구 개화동 493-2,https://place.map.kakao.com/679404823,메뉴 정보 없음
개화,개화역분식집,서울 강서구 개화동로8길 38 1층 4호,https://place.map.kakao.com/782545697,"개화역 떡볶이 (4,000원); 순대만 (3,500원); 순대+내장 (3,500원); 꼬치어묵(3개) (3,000원); 야채김밥 (3,500원); 참치김밥 (4,000원); 소고기야채비빔밥 (7,000원); 매콤제육덮밥 (7,000원)"
개화,개화산장,서울 강서구 개화동로19길 6-53,https://place.map.kakao.com/18446644,"오리 주물럭 철판 (50,000원); 오리 숯불 구이 (60,000원); 옻오리 , 옻닭 (60,000원); 능이 오리,닭 백숙 (68,000원); 한방 오리,닭 백숙 (58,000원); 장어 1kg (싯가) (54,000원)"
개화,깅꼬서울,서울 강서구 개화10길 40 1-2층,https://place.map.kakao.com/1180035280,"수제쌍화차 (11,000원); 오미자차 (10,000원); 생강차 (10,000원); 수정과(only ice) (10,000원)"
개화,여기모이소 개화산역본점,서울 강서구 양천로 31 1층 46호,https://place.map.kakao.com/1944653403,"무한리필(성인) (31,900원); 무한리필 (초등) (23,900원); 무한리필 (미취학 아동) (16,900원); 육개장(점심특선) (10,000원); 순두부찌개(점심특선) (8,000원)"
개화,매머드익스프레스 개화산역점,서울 강서구 양천로 19 라테라스 1층 101호,https://place.map.kakao.com/1732578244,"아메리카노 - S (1,200원)"
개화,춘천집닭갈비막국수 방화점,서울 강서구 양천로 34 양서빌딩 1층,https://place.map.kakao.com/15985988,"닭갈비(200g) (7,900원); 막국수 (6,000원); 계란찜 (3,000원)"
개화,투썸플레이스 개화산역점,서울 강서구 양천로 28 벽산에어트리움 2층,https://place.map.kakao.com/1008261252,치킨 시저 샐러드; 에그 샐러드번; 뉴욕 치즈 케이크; 레드벨벳; 마스카포네 티라미수; 스트로베리 초콜릿 생크림; 스페니쉬 연유 라떼; 허니 레몬티; 롱블랙; 스트로베리 피치 프라페
개화,칠구네신림동백순대&순대국,서울 강서구 양천로 34,https://place.map.kakao.com/427143337,"백순대곱창볶음 (17,000원); 양념순대곱창볶음 (27,000원); 새우백순대곱창볶음 (28,000원); 순대국 (10,000원); 오징어백순대곱창볶음 (27,000원); 얼큰순대국 (11,000원); 얼큰순대곱창전골 (25,900원); 모듬순대 (22,900원); 순대사리 (5,000원); 쫄면사리 (3,500원); 곱창사리 (5,000원); 간사리 (3,500원); 떡사리 (3,500원); 오징어사리 (6,000원); 새우사리 (6,000원); 공기밥 (1,500원); 날치알볶음밥 (4,000원); 깻잎 (1,000원); 양념장 （빽장） (2,000원); 양파지 (500원); 단무지 (500원); 콜라 355mL (2,000원); 사이다 355mL (1,500원); 환타 파인 355mL (1,500원)"
