역,이름,주소,상세보기,메뉴
시청,화포식당 시청점,서울 중구 남대문로1길 16 1층,https://place.map.kakao.com/503488711,메뉴탭 없음
시청,마이시크릿덴,서울 중구 덕수궁길 9 현진빌딩 4층 401호,https://place.map.kakao.com/193778722,메뉴탭 없음
시청,만족오향족발 시청점,서울 중구 서소문로 134-7 1층,https://place.map.kakao.com/21324404,메뉴 정보 없음
시청,더 플라자 라운지,서울 중구 소공로 119,https://place.map.kakao.com/21327572,메뉴탭 없음
시청,멘무샤 시청점,서울 중구 세종대로18길 20-2,https://place.map.kakao.com/12435498,메뉴 정보 없음
시청,파란만잔 광화문점,서울 중구 세종대로21길 58 1층,https://place.map.kakao.com/640073113,메뉴 정보 없음
시청,메가MGC커피 시청역점,서울 중구 세종대로 81 1층,https://place.map.kakao.com/2021420999,메뉴 정보 없음
시청,담소소사골순대육개장 북창점,서울 중구 세종대로18길 6-1 1층,https://place.map.kakao.com/882622693,메뉴 정보 없음
시청,맥도날드 서울시청점,서울 중구 남대문로9길 51 효덕빌딩 1층,https://place.map.kakao.com/11902329,메뉴 정보 없음
시청,투썸플레이스 서소문점,서울 중구 서소문로 135 연호빌딩 1층,https://place.map.kakao.com/8566640,메뉴 정보 없음
시청,한우정육 마당 본점,서울 중구 남대문로5길 7 1 2층,https://place.map.kakao.com/8632357,메뉴 정보 없음
시청,하이디라오 명동점,서울 중구 명동3길 36 마이티빌딩 1층,https://place.map.kakao.com/1820258951,메뉴 정보 없음
시청,커피빈 삼성본관빌딩점,서울 중구 세종대로 67 1층,https://place.map.kakao.com/1029850962,메뉴 정보 없음
시청,빽다방 태평로점,서울 중구 세종대로 82 1층,https://place.map.kakao.com/1614361192,메뉴 정보 없음
시청,커피빈 광화문점,서울 종로구 종로 14 센트리얼빌딩 1층,https://place.map.kakao.com/10826403,메뉴 정보 없음
시청,오양회참치,"서울 중구 세종대로21길 49 오양수산빌딩 1층, 지하1층",https://place.map.kakao.com/10637940,메뉴 정보 없음
시청,바나프레소 서소문로점,서울 중구 서소문로 130 대양빌딩 1층,https://place.map.kakao.com/1923894852,메뉴 정보 없음
시청,메가MGC커피 서울시청점,서울 중구 다동길 34 1-2층 1~2호,https://place.map.kakao.com/91354424,메뉴 정보 없음
시청,오늘통닭 서울시청점,서울 중구 세종대로11길 27,https://place.map.kakao.com/953241948,메뉴 정보 없음
