가게명,missing.csv_브랜드,no_menu_link.csv_이름,no_menu_link.csv_역,no_menu_link.csv_주소,no_menu_link.csv_메뉴,no_menu_link.csv_이유,missing.csv_출현횟수,no_menu_link.csv_출현횟수
5&커피,5&커피,5&커피,,서울 중구 마른내로 157 1층,메뉴탭 없음,메뉴탭 없음,1,1
가나점보돈까스,가나점보돈까스,가나점보돈까스,,서울 노원구 공릉로62가길 50,메뉴탭 없음,메뉴탭 없음,1,1
경성양꼬치,경성양꼬치,경성양꼬치,,서울 종로구 삼일대로17길 42-6,메뉴 정보 없음,메뉴 정보 없음,1,2
곽선생왕만두,곽선생왕만두,곽선생왕만두,,서울 동대문구 왕산로 18 1층 102호,메뉴탭 없음,메뉴탭 없음,1,4
구운몽,구운몽,구운몽,,서울 서초구 신반포로 176 신세계백화점 강남점 지하1층,메뉴탭 없음,메뉴탭 없음,1,1
국밥생각,국밥생각,국밥생각,,서울 광진구 긴고랑로9길 27 중곡제일시장 111호,메뉴탭 없음,메뉴탭 없음,1,1
군산할매쭈꾸미,군산할매쭈꾸미,군산할매쭈꾸미,,서울 강서구 마곡중앙로 161-8 1층 제씨-112호,메뉴탭 없음,메뉴탭 없음,1,1
궁채,궁채,궁채,,서울 노원구 공릉로 351,메뉴탭 없음,메뉴탭 없음,1,1
그라찌에,그라찌에,그라찌에,,서울 동작구 사당로8길 9,메뉴탭 없음,메뉴탭 없음,1,1
김밥나라,김밥나라,김밥나라,,서울 구로구 고척로 96,메뉴탭 없음,메뉴탭 없음,1,2
김밥천국,김밥천국,김밥천국,,서울 동대문구 왕산로19나길 3,메뉴탭 없음,메뉴탭 없음,1,11
김밥하우스,김밥하우스,김밥하우스,,서울 영등포구 신길로 69,메뉴탭 없음,메뉴탭 없음,1,1
김삼순생고기전문점,김삼순생고기전문점,김삼순생고기전문점,,서울 도봉구 노해로65길 7-12,메뉴탭 없음,메뉴탭 없음,1,2
나우커피,나우커피,나우커피,,서울 강서구 마곡서로 158,메뉴탭 없음,메뉴탭 없음,1,1
남원골추어탕,남원골추어탕,남원골추어탕,,서울 송파구 중대로23길 17,메뉴탭 없음,메뉴탭 없음,1,1
너와나노래주점,너와나노래주점,너와나노래주점,,서울 도봉구 노해로69길 15,메뉴탭 없음,메뉴탭 없음,1,2
더,더,더,,서울 도봉구 도봉로149길 11,메뉴탭 없음,메뉴탭 없음,1,1
더카페,더카페,더카페,,서울 도봉구 도봉로 678,메뉴탭 없음,메뉴탭 없음,1,1
독일빵집,독일빵집,독일빵집,,서울 중랑구 사가정로50길 67,메뉴탭 없음,메뉴탭 없음,1,1
두꺼비식당,두꺼비식당,두꺼비식당,,서울 동대문구 장한로12길 48 1층,메뉴탭 없음,메뉴탭 없음,1,1
따팡양꼬치,따팡양꼬치,따팡양꼬치,,서울 영등포구 도신로64길 17 1층,메뉴탭 없음,메뉴탭 없음,1,1
마듀,마듀,마듀,,서울 강동구 천호대로 1005 지하 2층,메뉴탭 없음,메뉴탭 없음,1,1
만리장성,만리장성,만리장성,,서울 동작구 사당로 248,메뉴탭 없음,메뉴탭 없음,1,1
맥주창고,맥주창고,맥주창고,,서울 구로구 경인로20길 10 3층,메뉴탭 없음,메뉴탭 없음,1,1
메차쿠차,메차쿠차,메차쿠차,,서울 성동구 행당로 76,메뉴탭 없음,메뉴탭 없음,1,1
멕시칸치킨,멕시칸치킨,멕시칸치킨,,서울 서초구 서초대로22길 51,메뉴 정보 없음,메뉴 정보 없음,1,1
멘지신도림점,멘지신도림점,멘지신도림점,,서울 구로구 경인로 661,메뉴 정보 없음,메뉴 정보 없음,1,1
명동칼국수,명동칼국수,명동칼국수,,서울 노원구 한글비석로 57,메뉴탭 없음,메뉴탭 없음,1,4
명성왕족발,명성왕족발,명성왕족발,,경기 부천시 원미구 역곡로26번길 25 역곡상상시장 104호,메뉴탭 없음,메뉴탭 없음,1,1
명인만두,명인만두,명인만두,,서울 영등포구 도림로39길 9 1층,메뉴탭 없음,메뉴탭 없음,1,1
미사랑,미사랑,미사랑,,서울 광진구 능동로51길 39,메뉴탭 없음,메뉴탭 없음,1,1
밀앤미과자점,밀앤미과자점,밀앤미과자점,,서울 도봉구 노해로63길 79,메뉴탭 없음,메뉴탭 없음,1,1
밀향기국시전문점,밀향기국시전문점,밀향기국시전문점,,서울 도봉구 노해로67길 10 1층,메뉴탭 없음,메뉴탭 없음,1,2
바다양푼이동태탕,바다양푼이동태탕,바다양푼이동태탕,,서울 구로구 구로중앙로28길 24,메뉴 정보 없음,메뉴 정보 없음,1,1
바불리옛날왕만두,바불리옛날왕만두,바불리옛날왕만두,,서울 중랑구 동일로 911,메뉴탭 없음,메뉴탭 없음,1,2
박영희왕만두전문점,박영희왕만두전문점,박영희왕만두전문점,,서울 도봉구 노해로63길 84-9 창동 SR스타빌 1층 115호,메뉴탭 없음,메뉴탭 없음,1,2
백남옥손만두,백남옥손만두,백남옥손만두,,서울 노원구 동일로 1078 1층,메뉴 정보 없음,메뉴 정보 없음,1,1
봉평메밀국수,봉평메밀국수,봉평메밀국수,,서울 서대문구 신촌로35길 10,메뉴 정보 없음,메뉴 정보 없음,1,2
부산진오뎅,부산진오뎅,부산진오뎅,,서울 강동구 동남로75길 13-7,메뉴 정보 없음,메뉴 정보 없음,1,2
비트커피수서역점,비트커피수서역점,비트커피수서역점,,서울 강남구 밤고개로 99,메뉴탭 없음,메뉴탭 없음,1,1
섬마을이야기석계역점,섬마을이야기석계역점,섬마을이야기석계역점,,서울 노원구 석계로1길 14 1 1층,메뉴탭 없음,메뉴탭 없음,1,1
세계과자할인점,세계과자할인점,세계과자할인점,,서울 노원구 화랑로 337-4,메뉴탭 없음,메뉴탭 없음,1,1
소딜리셔스,소딜리셔스,소딜리셔스,,서울 동대문구 왕산로 109,메뉴탭 없음,메뉴탭 없음,1,1
수라당,수라당,수라당,,서울 노원구 한글비석로 57,메뉴탭 없음,메뉴탭 없음,1,2
수작,수작,수작,,서울 광진구 긴고랑로 18-1 1층,메뉴탭 없음,메뉴탭 없음,1,1
순풍대주점,순풍대주점,순풍대주점,,서울 영등포구 도림로38길 10,메뉴탭 없음,메뉴탭 없음,1,1
썬더치킨,썬더치킨,썬더치킨,,서울 광진구 광장로 66-1 1층,메뉴 정보 없음,메뉴 정보 없음,1,1
얌샘김밥,얌샘김밥,얌샘김밥,,서울 영등포구 신길로29길 17,메뉴 정보 없음,메뉴 정보 없음,1,1
양님이쭈꾸미전문점,양님이쭈꾸미전문점,양님이쭈꾸미전문점,,서울 노원구 석계로 13-3,메뉴탭 없음,메뉴탭 없음,1,1
에그카페,에그카페,에그카페,,서울 구로구 경인로19길 35,메뉴탭 없음,메뉴탭 없음,1,1
에그카페24,에그카페24,에그카페24,,서울 구로구 중앙로6길 9,메뉴 정보 없음,메뉴 정보 없음,1,2
연변순대전문점,연변순대전문점,연변순대전문점,,서울 영등포구 디지털로37길 30-1,메뉴탭 없음,메뉴탭 없음,1,1
왕게수산,왕게수산,왕게수산,,서울 중구 다산로 203-1 1층 101호,킹크랩 (변동가격); 랍스타 (변동가격); 대게 (변동가격),가격 정보 없음,1,1
왕십리곱창,왕십리곱창,왕십리곱창,,서울 도봉구 노해로63길 84-9 예스알스타빌 1층 119호,메뉴탭 없음,메뉴탭 없음,1,3
용궁,용궁,용궁,,서울 동대문구 한천로 450-1 1층,메뉴 정보 없음,메뉴 정보 없음,1,2
우리동네,우리동네,우리동네,,서울 강서구 양천로 29,메뉴탭 없음,메뉴탭 없음,1,1
응응스크르,응응스크르,응응스크르,,서울 중랑구 동일로157길 70,메뉴탭 없음,메뉴탭 없음,1,2
