가게명,missing.csv_출현횟수,no_menu_link.csv_출현횟수
5&커피,1,1
가나점보돈까스,1,1
경성양꼬치,1,2
곽선생왕만두,1,4
구운몽,1,1
국밥생각,1,1
군산할매쭈꾸미,1,1
궁채,1,1
그라찌에,1,1
김밥나라,1,2
김밥천국,1,11
김밥하우스,1,1
김삼순생고기전문점,1,2
나우커피,1,1
남원골추어탕,1,1
너와나노래주점,1,2
더,1,1
더카페,1,1
독일빵집,1,1
두꺼비식당,1,1
따팡양꼬치,1,1
마듀,1,1
만리장성,1,1
맥주창고,1,1
메차쿠차,1,1
멕시칸치킨,1,1
멘지신도림점,1,1
명동칼국수,1,4
명성왕족발,1,1
명인만두,1,1
미사랑,1,1
밀앤미과자점,1,1
밀향기국시전문점,1,2
바다양푼이동태탕,1,1
바불리옛날왕만두,1,2
박영희왕만두전문점,1,2
백남옥손만두,1,1
봉평메밀국수,1,2
부산진오뎅,1,2
비트커피수서역점,1,1
섬마을이야기석계역점,1,1
세계과자할인점,1,1
소딜리셔스,1,1
수라당,1,2
수작,1,1
순풍대주점,1,1
썬더치킨,1,1
얌샘김밥,1,1
양님이쭈꾸미전문점,1,1
에그카페,1,1
에그카페24,1,2
연변순대전문점,1,1
왕게수산,1,1
왕십리곱창,1,3
용궁,1,2
우리동네,1,1
응응스크르,1,2
이가네양꼬치,1,3
장충왕족발,1,3
쟝블랑제리,1,1
중국성,1,4
중화대주점,1,1
찰찰보리식빵,1,5
청진동해장국,1,1
촌놈떡갈비,1,1
치어스,1,1
카페,1,1
카페베네,1,1
커피나인,1,2
커피보라,1,1
커피온,1,1
크레이지놈,1,1
태능감자탕,1,1
텐페이지,1,2
토담골민속주점,1,2
토리아에즈,1,1
팔도밥상,1,2
팔보반점,1,1
평창메밀,1,1
폼드팡,1,2
폼스치킨,1,1
풍류,1,2
프랑세즈과자점,1,1
피에스타7커피,1,1
한가네관점,1,1
한앤둘치킨,1,1
해성반점,1,1
행복한밥상,1,5
허흑오리,1,1
호화반점,1,1
환희생고기전문점,1,1
황제정육식당,1,2
